,Spital/Institution,Kanton,Kanton LV,Adr,Ort,Basispaket,Dermatologie,Hals-Nasen-Ohren,Neurochirurgie,Neurologie,Ophthalmologie,Endokrinologie,Gastroenterologie,Viszeralchirurgie,Hämatologie,Gefässe,Herz,Nephrologie,Urologie,Pneumologie,Thoraxchirurgie,Transplantationen,Bewegungsapparat chirurgisch,Rheumatologie,Gynäkologie,Geburtshilfe,Neugeborene,(Radio-) Onkologie,Unfallchirurgie,Übrige (Querschnittsbereiche),BP,BPE,DER1,DER1.1,DER1.2,DER2,HNO1,HNO1.1,HNO1.1.1,HNO1.2,HNO1.2.1,HNO1.3,HNO1.3.1,HNO1.3.2,HNO2,KIE1,NCH1,NCH1.1,NCH1.1.1,NCH1.1.1.1,NCH1.1.2,NCH1.1.3,NCH2,NCH2.1,NCH3,NEU1,NEU2,NEU2.1,NEU3,NEU3.1,NEU4,NEU4.1,NEU4.2,AUG1,AUG1.1,AUG1.2,AUG1.3,AUG1.4,AUG1.5,END1,GAE1,GAE1.1,VIS1,VIS1.1,VIS1.2,VIS1.3,VIS1.4,VIS1.4.1,VIS1.5,HAE1,HAE1.1,HAE2,HAE3,HAE4,HAE5,GEF1,ANG1,GEF2,ANG2,GEFA,GEF3,ANG3,GEF4,ANG4,RAD1,RAD2,HER1,HER1.1,HER1.1.1,HER1.1.2,HER1.1.3,HER1.1.4,HER1.1.5,HER1.1.6,KAR1,KAR1.1,KAR1.1.1,KAR1.2,KAR1.3,KAR2,KAR3,KAR3.1,KAR3.1.1,NEP1,URO1,URO1.1,URO1.1.1,URO1.1.2,URO1.1.3,URO1.1.4,URO1.1.5,URO1.1.6,URO1.1.7,URO1.1.8,PNE1,PNE1.1,PNE1.2,PNE1.3,PNE2,THO1,THO1.1,THO1.2,TPL1,TPL2,TPL3,TPL4,TPL5,TPL6,TPL7,BEW1,BEW2,BEW3,BEW4,BEW5,BEW6,BEW7,BEW7.1,BEW7.1.1,BEW7.2,BEW7.2.1,BEW7.3,BEW8,BEW8.1,BEW8.1.1,BEW9,BEW10,BEW11,RHE1,RHE2,GYN1,GYN1.1,GYN1.2,GYN1.3,GYN1.4,GYNT,GYN2,PLC1,GEBH,GEBS,GEB1,GEB1.1,GEB1.1.1,NEOG,NEO1,NEO1.1,NEO1.1.1,NEO1.1.1.1,ONK1,RAO1,NUK1,UNF1,UNF1.1,UNF2,ISO,BES,KINM,KINC,KINB,KAA,KAB,KAC,KAD,GER,AVA,PAL,Erfüllte Leistungsangebote,Beschränkte/Befristete Leistungsangebote
77,USB Gellertstrasse,BS,BL/BS,Gellertstrasse 144,4052 Basel,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['BPE', 'BEW1', 'BEW2', 'BEW4', 'BEW5', 'BEW6', 'BEW7', 'BEW7.1', 'BEW7.1.1', 'BEW7.2', 'BEW7.2.1', 'BEW7.3']","['Basispaket', 'Bewegungsapparat chirurgisch']"
78,USB Augenspital,BS,BL/BS,Mittlere Strasse 91,4031 Basel,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Ophthalmologie', 'BPE', 'AUG1', 'AUG1.1', 'AUG1.2', 'AUG1.3', 'AUG1.4', 'AUG1.5']",['Basispaket']
79,St. Claraspital,BS,BL/BS,Kleinriehenstrasse 30,4058 Basel,1.0,1.0,1.0,,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,1.0,,,1.0,1.0,1.0,2.0,,1.0,1.0,,,,,,,,,,,2.0,,,,,,,,,,,1.0,2.0,2.0,2.0,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,,2.0,2.0,,,,,,,1.0,,,,,2.0,,,,,,,,,,2.0,2.0,,,2.0,,,,,1.0,2.0,2.0,2.0,2.0,2.0,1.0,,,,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,2.0,,,,,,,,,,,,2.0,2.0,,2.0,,,,,,,,,,,,,,2.0,"['Endokrinologie', 'Gastroenterologie', 'Thoraxchirurgie', 'BP', 'HNO2', 'NEU2', 'NEU2.1', 'NEU3', 'END1', 'GAE1', 'GAE1.1', 'VIS1', 'VIS1.1', 'VIS1.2', 'VIS1.3', 'VIS1.4', 'HAE1', 'HAE2', 'HAE3', 'RAD1', 'KAR1', 'KAR1.1', 'KAR1.3', 'URO1', 'URO1.1', 'URO1.1.1', 'URO1.1.2', 'URO1.1.3', 'URO1.1.8', 'PNE1', 'PNE1.1', 'PNE2', 'THO1', 'THO1.1', 'THO1.2', 'GYN1', 'GYNT', 'GYN2', 'ONK1', 'RAO1', 'UNF1', 'PAL']","['Basispaket', 'Dermatologie', 'Hals-Nasen-Ohren', 'Neurologie', 'Viszeralchirurgie', 'Hämatologie', 'Gefässe', 'Herz', 'Nephrologie', 'Urologie', 'Pneumologie', 'Gynäkologie', '(Radio-) Onkologie', 'Unfallchirurgie', 'Übrige (Querschnittsbereiche)', 'DER1', 'DER1.1', 'NEU1', 'VIS1.4.1', 'VIS1.5', 'GEFA', 'NEP1', 'URO1.1.4']"
80,Merian Iselin Klinik,BS,BL/BS,Föhrenstrasse 2,4054 Basel,1.0,,1.0,,,,,,,,1.0,,,1.0,,,,1.0,1.0,,,,,,,,2.0,,,,,2.0,2.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,1.0,,,,,2.0,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['BPE', 'HNO1', 'HNO1.1', 'HNO1.2', 'HNO1.3', 'URO1', 'URO1.1', 'URO1.1.1', 'URO1.1.8', 'BEW1', 'BEW2', 'BEW3', 'BEW4', 'BEW5', 'BEW6', 'BEW7', 'BEW7.1', 'BEW7.1.1', 'BEW7.2', 'BEW7.2.1', 'BEW7.3', 'RHE1']","['Basispaket', 'Hals-Nasen-Ohren', 'Gefässe', 'Urologie', 'Bewegungsapparat chirurgisch', 'Rheumatologie', 'ANG1', 'URO1.1.3']"
81,Bethesda Spital,BS,BL/BS,Gellertstrasse 144,4052 Basel,1.0,,,,1.0,,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,2.0,2.0,,,,,2.0,,2.0,,,,,2.0,2.0,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,"['BPE', 'BEW3', 'BEW8', 'BEW8.1', 'RHE1', 'GYN1', 'GYNT', 'GYN2', 'GEB1', 'NEO1']","['Basispaket', 'Neurologie', 'Urologie', 'Bewegungsapparat chirurgisch', 'Rheumatologie', 'Gynäkologie', 'Geburtshilfe', 'Neugeborene', 'NEU1', 'URO1', 'URO1.1', 'BEW2']"
82,SMN - Schmerzklinik Basel,BS,BL/BS,Hirschgässlein 11,4051 Basel,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['BPE', 'RHE1']","['Basispaket', 'Rheumatologie']"
83,Felix Platter-Spital,BS,BL/BS,Burgfelderstrasse 101,4055 Basel,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,['BPE'],"['Basispaket', 'Übrige (Querschnittsbereiche)', 'GER']"
84,Adullam Spital,BS,BL/BS,Mittlere Strasse 15,4056 Basel,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,['BPE'],"['Basispaket', 'Übrige (Querschnittsbereiche)', 'GER']"
85,Adullam Riehen,BS,BL/BS,Schützengasse 60,4125 Riehen,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,['BPE'],"['Basispaket', 'Übrige (Querschnittsbereiche)', 'GER']"
86,Kantonsspital Liestal,BL,BL/BS,Rheinstrasse 26,4410 Liestal,1.0,1.0,1.0,,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,2.0,2.0,,2.0,2.0,2.0,,2.0,,2.0,,,2.0,2.0,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,,2.0,2.0,,,2.0,2.0,2.0,,,2.0,,,,,,,,,,2.0,2.0,,,2.0,,,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,2.0,2.0,2.0,,,,,2.0,2.0,,,,2.0,,,,2.0,,,,2.0,2.0,2.0,2.0,,,,,,,2.0,,,,,2.0,,2.0,"['Ophthalmologie', 'Endokrinologie', 'Gastroenterologie', 'Viszeralchirurgie', 'Nephrologie', 'Pneumologie', 'Thoraxchirurgie', 'Rheumatologie', '(Radio-) Onkologie', 'BP', 'DER1', 'DER1.1', 'DER2', 'HNO1', 'HNO1.1', 'HNO1.2', 'HNO1.3', 'HNO2', 'KIE1', 'NEU1', 'NEU2', 'NEU2.1', 'NEU3', 'NEU3.1', 'AUG1', 'AUG1.1', 'AUG1.2', 'AUG1.3', 'AUG1.4', 'AUG1.5', 'END1', 'GAE1', 'GAE1.1', 'VIS1', 'VIS1.1', 'VIS1.2', 'VIS1.3', 'VIS1.4', 'VIS1.4.1', 'VIS1.5', 'HAE1', 'HAE2', 'HAE3', 'GEF1', 'ANG1', 'GEFA', 'GEF3', 'ANG3', 'RAD1', 'KAR1', 'KAR1.1', 'KAR1.3', 'NEP1', 'URO1', 'URO1.1', 'URO1.1.1', 'URO1.1.2', 'URO1.1.3', 'URO1.1.8', 'PNE1', 'PNE1.1', 'PNE1.2', 'PNE1.3', 'PNE2', 'THO1', 'THO1.1', 'THO1.2', 'RHE1', 'RHE2', 'GYN1', 'GYNT', 'GYN2', 'GEB1', 'NEO1', 'ONK1', 'RAO1', 'NUK1', 'UNF1', 'KINB', 'GER', 'PAL']","['Basispaket', 'Dermatologie', 'Hals-Nasen-Ohren', 'Neurologie', 'Hämatologie', 'Gefässe', 'Herz', 'Urologie', 'Bewegungsapparat chirurgisch', 'Gynäkologie', 'Geburtshilfe', 'Neugeborene', 'Unfallchirurgie', 'Übrige (Querschnittsbereiche)', 'URO1.1.4', 'BEW1', 'BEW2', 'BEW3', 'BEW4', 'BEW5', 'BEW6', 'BEW7', 'BEW7.1', 'BEW7.1.1', 'BEW7.2', 'BEW7.2.1', 'BEW7.3', 'BEW8', 'BEW8.1', 'BEW9']"
87,Kantonsspital Bruderholz,BL,BL/BS,Gemeindeholzweg,4101 Bruderholz,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,1.0,,,1.0,2.0,,,,1.0,,1.0,2.0,,2.0,,,2.0,2.0,2.0,,2.0,,,,,,2.0,,,,,,,,,2.0,2.0,2.0,,2.0,,,,,,,,,,,2.0,2.0,2.0,2.0,,,,2.0,,,,,2.0,2.0,,,,2.0,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,2.0,1.0,,,1.0,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,,,,,,,,,,,,,2.0,,,"['Endokrinologie', 'Gastroenterologie', 'Nephrologie', 'Rheumatologie', 'BP', 'DER1', 'DER2', 'HNO1', 'HNO1.1', 'HNO1.2', 'KIE1', 'NCH3', 'NEU1', 'NEU2', 'NEU3', 'END1', 'GAE1', 'GAE1.1', 'VIS1', 'VIS1.4', 'HAE2', 'HAE3', 'ANG1', 'RAD1', 'KAR1', 'NEP1', 'PNE1', 'BEW1', 'BEW2', 'BEW3', 'BEW4', 'BEW5', 'BEW6', 'BEW7', 'BEW7.1', 'BEW7.1.1', 'BEW7.2', 'BEW7.2.1', 'BEW7.3', 'BEW8', 'BEW8.1', 'BEW9', 'RHE1', 'RHE2', 'ONK1', 'RAO1', 'GER']","['Basispaket', 'Dermatologie', 'Hals-Nasen-Ohren', 'Neurochirurgie', 'Neurologie', 'Viszeralchirurgie', 'Hämatologie', 'Gefässe', 'Herz', 'Pneumologie', 'Bewegungsapparat chirurgisch', '(Radio-) Onkologie', 'Übrige (Querschnittsbereiche)', 'PNE1.1', 'PNE2', 'NUK1']"
88,Hirslanden Klinik Birshof,BL,BL/BS,Reinacherstrasse 28,4142 Münchenstein,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['BPE', 'KIE1', 'BEW1', 'BEW2', 'BEW3', 'BEW4', 'BEW5', 'BEW6', 'BEW7', 'BEW7.1', 'BEW7.1.1', 'BEW7.2', 'BEW7.2.1', 'BEW7.3', 'BEW8', 'BEW8.1', 'RHE1']","['Basispaket', 'Bewegungsapparat chirurgisch', 'Rheumatologie']"
89,Praxisklinik Rennbahn AG,BL,BL/BS,Kriegackerstrasse 100,4132 Muttenz,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,2.0,2.0,2.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['BPE', 'BEW1', 'BEW2', 'BEW4', 'BEW5', 'BEW6', 'BEW7', 'BEW7.2']","['Basispaket', 'Bewegungsapparat chirurgisch']"
90,Ergolz-Klinik,BL,BL/BS,Hammerstrasse 35,4410 Liestal,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,2.0,2.0,,2.0,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['BPE', 'HNO1', 'HNO1.1', 'HNO1.2', 'HNO1.3', 'HNO2', 'URO1']","['Basispaket', 'Hals-Nasen-Ohren', 'Urologie']"
91,Vista Klinik,BL,BL/BS,Hauptstrasse 55,4102 Binningen,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Ophthalmologie', 'AUG1', 'AUG1.1', 'AUG1.2', 'AUG1.3', 'AUG1.4', 'AUG1.5']",[]
92,Klinik Arlesheim AG,BL,BL/BS,Pfeffingerweg 1,4144 Arlesheim,1.0,,,,,,2.0,1.0,,1.0,,,,,1.0,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,2.0,"['Endokrinologie', 'END1', 'GAE1', 'HAE2', 'PNE1', 'ONK1', 'GER', 'PAL']","['Basispaket', 'Gastroenterologie', 'Hämatologie', 'Pneumologie', '(Radio-) Onkologie', 'Übrige (Querschnittsbereiche)', 'BPE']"
93,soH Spital Dornach,SO,BL/BS,Spitalweg 11,4143 Dornach,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,2.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['BP', 'HNO1', 'HNO1.1', 'HNO1.2', 'BEW1', 'BEW2', 'BEW3', 'BEW4', 'BEW5', 'BEW6', 'BEW7', 'BEW7.1', 'BEW7.1.1', 'BEW7.2', 'BEW7.2.1', 'BEW7.3']","['Basispaket', 'Hals-Nasen-Ohren', 'Bewegungsapparat chirurgisch']"
94,Universitäts-Kinderspital beider Basel (UKBB),BS,BL/BS,Spitalstrasse 33,4056 Basel,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,,1.0,1.0,,,1.0,2.0,1.0,1.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,,,2.0,2.0,2.0,,,2.0,,,,,,,,,,2.0,,1.0,2.0,2.0,,,,,2.0,2.0,2.0,,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,,,,,,,,2.0,,,,,,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,,,2.0,2.0,2.0,,,,,,,2.0,"['Dermatologie', 'Ophthalmologie', 'Endokrinologie', 'Gastroenterologie', 'Nephrologie', 'Pneumologie', 'Thoraxchirurgie', '(Radio-) Onkologie', 'BP', 'DER1', 'DER1.1', 'DER1.2', 'DER2', 'HNO1', 'HNO1.1', 'HNO1.1.1', 'HNO1.2', 'HNO1.2.1', 'HNO1.3', 'HNO1.3.1', 'HNO2', 'KIE1', 'NCH1', 'NCH1.1', 'NCH1.1.1', 'NCH1.1.1.1', 'NCH1.1.2', 'NCH2', 'NCH2.1', 'NCH3', 'NEU1', 'NEU2', 'NEU2.1', 'NEU3', 'NEU3.1', 'NEU4', 'NEU4.1', 'AUG1', 'AUG1.1', 'AUG1.2', 'AUG1.3', 'AUG1.4', 'AUG1.5', 'END1', 'GAE1', 'GAE1.1', 'VIS1', 'VIS1.1', 'VIS1.2', 'VIS1.3', 'VIS1.5', 'HAE1', 'HAE1.1', 'HAE2', 'HAE3', 'HAE5', 'GEF1', 'ANG1', 'GEFA', 'GEF3', 'ANG3', 'RAD1', 'KAR1', 'KAR1.2', 'KAR1.3', 'NEP1', 'URO1', 'URO1.1', 'URO1.1.2', 'URO1.1.3', 'URO1.1.4', 'URO1.1.7', 'URO1.1.8', 'PNE1', 'PNE1.1', 'PNE1.2', 'PNE1.3', 'PNE2', 'THO1', 'THO1.1', 'THO1.2', 'BEW1', 'BEW2', 'BEW3', 'BEW4', 'BEW5', 'BEW6', 'BEW7', 'BEW7.1', 'BEW7.1.1', 'BEW7.2', 'BEW7.2.1', 'BEW7.3', 'BEW8', 'BEW8.1', 'BEW9', 'BEW10', 'BEW11', 'RHE1', 'PLC1', 'NEO1', 'NEO1.1', 'NEO1.1.1', 'ONK1', 'RAO1', 'NUK1', 'KINM', 'KINC', 'KINB', 'PAL']","['Basispaket', 'Hals-Nasen-Ohren', 'Neurochirurgie', 'Neurologie', 'Viszeralchirurgie', 'Hämatologie', 'Gefässe', 'Herz', 'Urologie', 'Bewegungsapparat chirurgisch', 'Rheumatologie', 'Neugeborene', 'Unfallchirurgie', 'Übrige (Querschnittsbereiche)', 'KAR1.1.1', 'NEO1.1.1.1', 'UNF1', 'UNF1.1', 'UNF2']"
95,Palliativzentrum Hildegard,BS,BL/BS,St. Alban­Ring 151,4052 Basel,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,['PAL'],['Übrige (Querschnittsbereiche)']
96,Hospiz im Park,BL,BL/BS,Stollenrain 12,4144 Arlesheim,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,['PAL'],['Übrige (Querschnittsbereiche)']
97,Matthea Geburtshaus,BS,BL/BS,Klybeckstrasse 64/70,4057 Basel,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,"['GEBH', 'NEOG']","['Geburtshilfe', 'Neugeborene']"
98,Geburtshaus ambra GmbH,BL,BL/BS,Unterdorfstrasse 25,4443 Wittinsburg,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,"['GEBH', 'NEOG']","['Geburtshilfe', 'Neugeborene']"
99,Geburtshaus Tagmond GmbH,BL,BL/BS,Hauptstrasse 26,4133 Pratteln,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,"['GEBH', 'NEOG']","['Geburtshilfe', 'Neugeborene']"
100,Schweizerisches Epilepsie­Zentrum,ZH,BL/BS,Bleulerstrasse 60,8008 Zürich,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['NEU4', 'NEU4.1']",['Neurologie']
