DATAFLOW,FREQ: Frequency,SPECIFICATION: Specification,TIME_PERIOD: Time period,OBS_VALUE,NOTE_YEAR_2: Note year 2,NOTE_YEAR_1: Note year 1,NOTE_SPECIFICATION_2: Note specification 2,NOTE_SPECIFICATION_1: Note specification 1,OBS_STATUS: Observation status,DECIMALS: Decimals
LU1:DF_X021(1.0),A: Annual,CM02006: Feulen,2023,2366,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03003: Grosbous,2023,1134,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03006: Redange-sur-Attert,2023,3059,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM05003: Goesdorf,2023,1664,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM08008: Waldbredimus,2023,1337,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM09006: Koerich,2023,2706,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12005: Helperknapp,2023,4941,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03005: Rambrouch,2023,4836,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM05002: Esch-sur-Sûre,2023,3129,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM06001: Beaufort,2023,3053,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM07003: Flaxweiler,2023,2193,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM09007: Kopstal,2023,4286,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10005: Frisange,2023,4912,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10010: Reckange-sur-Mess,2023,2734,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12002: Colmar-Berg,2023,2336,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CT01: Canton Clervaux,2023,20687,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM07007: Mertert,2023,5117,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11004: Luxembourg,2023,132780,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12008: Lorentzweiler,2023,4521,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM02004: Erpeldange-sur-Sûre,2023,2429,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03009: Vichten,2023,1425,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM07008: Wormeldange,2023,3171,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM09008: Mamer,2023,10643,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM11010: Walferdange,2023,8730,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM12006: Larochette,2023,2208,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM02008: Reisdorf,2023,1353,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM03008: Useldange,2023,2075,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CT05: Canton Wiltz,2023,19209,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM07001: Betzdorf,2023,4105,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM08003: Lenningen,2023,2070,,,,,,0: Zero
